Title,URL,Response,Cuisine_Type
Pot and Rice (Elephant&Castle)煲仔飯,https://www.google.com/maps/place/Pot+and+Rice+(Elephant%26Castle)%E7%85%B2%E4%BB%94%E9%A3%AF/data=!4m2!3m1!1s0x487605c44719d209:0x6b6235a77a962c53,"I'm sorry, but I couldn't find the specific details for ""Pot and Rice (Elephant&Castle)煲仔飯"" in London. It's possible that the restaurant may go by a different name or it may not be in London.",Chinese copy_gen
牛肆,https://www.google.com/maps/place/%E7%89%9B%E8%82%86/data=!4m2!3m1!1s0x3442a95a0bd8c951:0xb627cf0fe873774b,"I'm sorry, but I couldn't find any specific information about a restaurant named ""牛肆"" in London. This might be due to a spelling error or miscommunication. Please check the restaurant's name again.",Chinese copy_gen
秦小姐豆漿店,https://www.google.com/maps/place/%E7%A7%A6%E5%B0%8F%E5%A7%90%E8%B1%86%E6%BC%BF%E5%BA%97/data=!4m2!3m1!1s0x3442abc22d6dfd47:0x11797bedd27f801b,"I'm sorry, but I couldn't find a restaurant named ""秦小姐豆漿店"" in London.",Chinese copy_gen
明福台菜海產,https://www.google.com/maps/place/%E6%98%8E%E7%A6%8F%E5%8F%B0%E8%8F%9C%E6%B5%B7%E7%94%A2/data=!4m2!3m1!1s0x3442a94342ba081b:0x8350490e74b2b7b,"I'm sorry, but I can't assist with that.",Chinese copy_gen
Fu Hang Soy Milk,https://www.google.com/maps/place/Fu+Hang+Soy+Milk/data=!4m2!3m1!1s0x3442a97065a9fe7d:0x9f8ad0b871ef2d1e,"I'm sorry, but I can't find a restaurant called ""Fu Hang Soy Milk"" in London. It seems the popular ""Fu Hang Soy Milk"" is located in Taipei, Taiwan, and no branches in London are showing up in the search. Therefore, the requested details can't be provided.",Chinese copy_gen
LinDongFang,https://www.google.com/maps/place/LinDongFang/data=!4m2!3m1!1s0x3442abd943c93d47:0x65a18c1769be04de,"I'm sorry, but I could not find a restaurant named ""LinDongFang"" in London. It may be possible that the restaurant is spelled differently, has recently closed, or does not exist in London.",Chinese copy_gen
Jin Feng Braised Pork Rice,https://www.google.com/maps/place/Jin+Feng+Braised+Pork+Rice/data=!4m2!3m1!1s0x3442a99eb59cabfb:0xd9cf9cd1992ceb6c,"Apologies, but a search for ""Jin Feng Braised Pork Rice"" restaurant in London yielded no results. It's possible that it might be located elsewhere around the world. You may attempt to provide another restaurant based in London for assistance.",Chinese copy_gen
老吉士上海菜,https://www.google.com/maps/place/%E8%80%81%E5%90%89%E5%A3%AB%E4%B8%8A%E6%B5%B7%E8%8F%9C/data=!4m2!3m1!1s0x35b27aa792e1e7f9:0x29a9832bee4f38a2,"Apologies, I couldn't locate a restaurant named ""老吉士上海菜"" in London.",Chinese copy_gen
Xiezunyuan (Changning Branch),https://www.google.com/maps/place/Xiezunyuan+(Changning+Branch)/data=!4m2!3m1!1s0x35b26576b2e4fb3d:0x17ddbb54b27cad26,"I'm sorry, but I cannot find a restaurant named ""Xiezunyuan (Changning Branch)"" in London. Therefore, I must output 'NaN'. Please check the name and try again.",Chinese copy_gen
Bor Eatery,https://www.google.com/maps/place/Bor+Eatery/data=!4m2!3m1!1s0x35b26553d41d8adb:0x11446ebb1da5b0b3,"I'm sorry, but a search for ""Bor Eatery"" didn't provide results for a restaurant in London. It's possible that the restaurant may not exist in London or the spelling might be incorrect.",Chinese copy_gen
Taian Men,https://www.google.com/maps/place/Taian+Men/data=!4m2!3m1!1s0x35b265580d73ba4b:0xefb6613fc2eb50fe,"I'm Sorry, I could not find any restaurant named ""Taian Men"" in London or anywhere else. It might be under a different name. I'd suggest verifying the name and trying again.",Chinese copy_gen
Sun Hon Kee Restaurant,https://www.google.com/maps/place/Sun+Hon+Kee+Restaurant/data=!4m2!3m1!1s0x3403f61e7539bfd1:0x57ceb0f731b995a6,"I'm sorry, but I couldn't find a restaurant named ""Sun Hon Kee Restaurant"" in London. Therefore, the necessary information cannot be provided.",Chinese copy_gen
Man Ho Chinese Restaurant,https://www.google.com/maps/place/Man+Ho+Chinese+Restaurant/data=!4m2!3m1!1s0x3404006795143769:0xa74ff18c9b2447b4,"I'm sorry but there's no information available about ""Man Ho Chinese Restaurant"" in London. Despite multiple searches, the requested restaurant couldn't be found in London. Thus, the required details: location, cuisine, type of restaurant, price point, reviews, and top dishes, can't be provided. Please ensure the restaurant name and location are correct.",Chinese copy_gen
Moments Together,https://www.google.com/maps/place/Moments+Together/data=!4m2!3m1!1s0x34040050dafa68a3:0x4e70ef2b45f7717d,"I'm sorry, but I couldn't find a restaurant called ""Moments Together"" in London.",Chinese copy_gen
鋒膳 Flower Drum,https://www.google.com/maps/place/%E9%8B%92%E8%86%B3+Flower+Drum/data=!4m2!3m1!1s0x34040044a6224785:0x8e50e093edbce703,"I'm sorry, but I couldn't find the specific restaurant ""鋒膳 Flower Drum"" in London. It might be listed under a different name or it isn't available online. This information may not be accurate or completely up-to-date. Therefore, the best advice is to contact the restaurant directly or check a reliable restaurant guide.",Chinese copy_gen
Haoshizai Beef Ball Xinjia Branch,https://www.google.com/maps/place/Haoshizai+Beef+Ball+Xinjia+Branch/data=!4m2!3m1!1s0x3411b9f2ce717c2d:0x81fa1d23fa099555,"Apologies, but after thorough research, it appears ""Haoshizai Beef Ball Xinjia Branch"" does not exist in London. Based on the guidelines given, the output is 'NaN'.",Chinese copy_gen
Wilmer Lobby,https://www.google.com/maps/place/Wilmer+Lobby/data=!4m2!3m1!1s0x340401bd5aa73367:0xc098c00d92b845b4,"I'm sorry, but I couldn't find any details on a restaurant named ""Wilmer Lobby"" in London. After thorough searching, it appears this specified restaurant may not exist or possibly, it's not located in London.",Chinese copy_gen
Mixian Gor,https://www.google.com/maps/place/Mixian+Gor/data=!4m2!3m1!1s0x340400c985cfd0d9:0x3d36bdc07d4c898,"I'm sorry, but I couldn't find any information on a restaurant named ""Mixian Gor"" located in London. Therefore, I must output 'NaN' as per your instructions.
",Chinese copy_gen
ChorLand Cookfood Stall,https://www.google.com/maps/place/ChorLand+Cookfood+Stall/data=!4m2!3m1!1s0x3403ff181a9b4aff:0xcf581bf1bef80760,"Apologies, but I am unable to locate a restaurant called ""ChorLand Cookfood Stall"" in London. It's possible that the restaurant name might be misspelled, or it may not be in London. If it is not in London, the output would be 'NaN'. If the restaurant name is incorrect, please provide the correct one for further assistance.",Chinese copy_gen
Taiyuan Street Restaurant,https://www.google.com/maps/place/Taiyuan+Street+Restaurant/data=!4m2!3m1!1s0x34040635071fe29f:0x95b7928564e44119,"I'm sorry, but I cannot find a ""Taiyuan Street Restaurant"" in London. The restaurant might not exist in London or could potentially be under a different name. Please double-check the information or try another restaurant.",Chinese copy_gen
Ho Lee Fook,https://www.google.com/maps/place/Ho+Lee+Fook/data=!4m2!3m1!1s0x3404007b9ca2027b:0x64470d09bc46ad83,"I'm sorry, but I couldn't find a restaurant called ""Ho Lee Fook"" in London. It looks like there's a popular restaurant with that name in Hong Kong, but it doesn't appear to have a location in London. Please consider checking the name or trying a different restaurant located in London.",Chinese copy_gen
Chung Kee Congee,https://www.google.com/maps/place/Chung+Kee+Congee/data=!4m2!3m1!1s0x3404005a48ec91c5:0xe6ec50e76582179d,"I'm sorry, but I couldn't find any information about a restaurant named ""Chung Kee Congee"" in London. It may be that this restaurant isn't located in London or my search function is limited.",Chinese copy_gen
Lo's Noodle London Ltd,https://www.google.com/maps/place/Lo's+Noodle+London+Ltd/data=!4m2!3m1!1s0x487604d252bf86b9:0x395c9ec6441966bc,"Apologies, but I could not find a restaurant called ""Lo's Noodle London Ltd"" in London. Therefore, the details you requested are unavailable. 

Kindly, ensure you have provided the correct name for the establishment or whether it could be under a different name.",Chinese copy_gen
Hao Tang Hao Miam,https://www.google.com/maps/place/Hao+Tang+Hao+Miam/data=!4m2!3m1!1s0x340407a7bd40e95f:0xe073523baedae54e,"I'm sorry, but I couldn't find any details about a restaurant called ""Hao Tang Hao Miam"" in London in my database. Would you like me to search for any other restaurants?",Chinese copy_gen
Bino N' Booze 邊敘邊醉,https://www.google.com/maps/place/Bino+N'+Booze+%E9%82%8A%E6%95%98%E9%82%8A%E9%86%89/data=!4m2!3m1!1s0x340401a2fa9d99ad:0xc48916b2b8c9bb6b,"I'm sorry, but I couldn't find a restaurant named ""Bino N' Booze 邊敘邊醉"" in London. Therefore, the details requested are not available.",Chinese copy_gen
JinCheng Alley,https://www.google.com/maps/place/JinCheng+Alley/data=!4m2!3m1!1s0x48761b4c563e7785:0xe34d02c516c990db,"I'm sorry, but I was unable to find a restaurant called ""JinCheng Alley"" in London. Please verify if the restaurant name and location are correct.",Chinese copy_gen
Huayuan Chinese Restaurant,https://www.google.com/maps/place/Huayuan+Chinese+Restaurant/data=!4m2!3m1!1s0x478e39a9e7060e77:0xee8c763cd349457d,"I'm sorry but I couldn't find any information about the ""Huayuan Chinese Restaurant"" in London. The restaurant either doesn't exist or it may have changed its name over the years. Can you please confirm the name again?",Chinese copy_gen
Gouqi,https://www.google.com/maps/place/Gouqi/data=!4m2!3m1!1s0x487605e6ce769783:0x13a368b0a80b2fd8,"I'm sorry, but after a thorough search, I wasn't able to find a restaurant named ""Gouqi"" in London. Please ensure the spelling and details are correct.",Chinese copy_gen
The Praya,https://www.google.com/maps/place/The+Praya/data=!4m2!3m1!1s0x3403ff58a226dd2d:0xe2bbe4e8d47e287c,"I'm sorry, but after extensive research, it appears that ""The Praya"" restaurant does not exist in London. As per your instructions, the output for this query is 'NaN'.",Chinese copy_gen
Fei Chaiman,https://www.google.com/maps/place/Fei+Chaiman/data=!4m2!3m1!1s0x34017aa71c9e35c7:0x9aef9f6741f5032d,"I'm sorry, I could not find information about a restaurant named ""Fei Chaiman"" in London or elsewhere. Please check if the name is spelled correctly.",Chinese copy_gen
Yongkang Beef Noodles,https://www.google.com/maps/place/Yongkang+Beef+Noodles/data=!4m2!3m1!1s0x3442a982f7561781:0x1d0cff4ca69a3838,"I'm sorry, but after an exhaustive search, I could not find a Yongkang Beef Noodles restaurant in London.",Chinese copy_gen
Tian Jin Onion Pancake,https://www.google.com/maps/place/Tian+Jin+Onion+Pancake/data=!4m2!3m1!1s0x3442a98585673043:0xe9aa78fb08f95aed,"I'm sorry, I couldn't find a restaurant called ""Tian Jin Onion Pancake"" based in London, therefore I must label this query as 'NaN'. Please make sure the spelling is correct or provide another restaurant to research.",Chinese copy_gen
先進海產店,https://www.google.com/maps/place/%E5%85%88%E9%80%B2%E6%B5%B7%E7%94%A2%E5%BA%97/data=!4m2!3m1!1s0x3442abc3deafa271:0xd688900d70c1cc13,"I'm sorry, there must have been confusion with the restaurant name. ""先進海產店"" does not appear to be a restaurant located in London. It may be helpful to verify the spelling or provide additional details.",Chinese copy_gen
No.10 Restaurant,https://www.google.com/maps/place/No.10+Restaurant/data=!4m2!3m1!1s0x48760f8b44bc3b43:0x23fc56fedde8e2da,"No.10 Restaurant is located in Southgate, N14 6AA, London. It offers Italian and Mediterranean cuisine served in an intimate, restaurant setting. The average pricing ranges between £20-£30 per person. Reviews highlight the romantic ambience and the welcoming nature of the staff, making it suitable for both big groups and intimate dinners. Top recommended dishes include the Calamari Fritti, Penne Arrabiata and Tiramisu.",Chinese copy_gen
Barshu Restaurant,https://www.google.com/maps/place/Barshu+Restaurant/data=!4m2!3m1!1s0x487604d2f3b6c873:0x33cd98c66b65476,"Barshu Restaurant is located in Soho, W1D 5AL, in the heart of London. It serves spicy Sichuan Chinese cuisine. This restaurant is known for its thrillingly hot food and vibrant ambience. The price point ranges from £20-£30. Reviews highlight its authentic flavours, with some finding it ideal for group dining, albeit not particularly romantic. Top dishes often recommended include the Crispy Fried Sea Bass, Gong Bao Chicken, and Hot Pot dishes.",Chinese copy_gen
Zheng,https://www.google.com/maps/place/Zheng/data=!4m2!3m1!1s0x48760569a188e231:0xcc86173a7c15415c,"Zheng is located in Chelsea, SW3 2EP, London. It offers Malaysian cuisine and operates as a full-service restaurant. The price point ranges from £20-£30. Reviews highlight its authentic flavours and intimate setting, ideal for dinners. It's also recommended for larger groups. Top dishes include the Chicken Satay, Rendang Beef and soft-shell crab.",Chinese copy_gen
Pearl Liang,https://www.google.com/maps/place/Pearl+Liang/data=!4m2!3m1!1s0x48761aac3b8af627:0x4dbee8252bd9c9ec,"Pearl Liang is located in Paddington, W2 6EZ, London. This is primarily a Chinese restaurant. Despite being a restaurant, it also has a bar setting. The price range here is generally around £20-£40. Reviews highlight its tranquil, exotic decor and friendly services. It's often seen as a good spot for big groups. The top recommended dishes include Dim Sum and Singapore Rice Noodles.",Chinese copy_gen
